Num threads;Num fila;Num columna;Num elementos;Num iteraciones;Tiempo(ns);Coste;
1;1;1;1;2;2503904;0.0;
2;1;1;1;2;224425;0.0;
3;1;1;1;2;152599;0.0;
4;1;1;1;2;108205;0.0;
5;1;1;1;2;98868;0.0;
6;1;1;1;2;95140;0.0;
7;1;1;1;2;120689;0.0;
8;1;1;1;2;102665;0.0;
9;1;1;1;2;106582;0.0;
10;1;1;1;2;103696;0.0;
11;1;1;1;2;133863;0.0;
12;1;1;1;2;2221780;0.0;
13;1;1;1;2;165233;0.0;
14;1;1;1;2;105931;0.0;
15;1;1;1;2;109648;0.0;
16;1;1;1;2;101002;0.0;
17;1;1;1;2;110430;0.0;
18;1;1;1;2;107504;0.0;
19;1;1;1;2;101542;0.0;
20;1;1;1;2;94449;0.0;
21;1;1;1;2;97104;0.0;
22;1;1;1;2;88909;0.0;
1;1;2;2;2;346517;0.15600717;
2;1;2;2;2;112984;0.15600717;
3;1;2;2;2;122312;0.15600717;
4;1;2;2;2;140165;0.15600717;
5;1;2;2;2;136498;0.15600717;
6;1;2;2;2;187024;0.15600717;
7;1;2;2;2;141748;0.15600717;
8;1;2;2;2;127612;0.15600717;
9;1;2;2;2;122322;0.15600717;
10;1;2;2;2;109628;0.15600717;
11;1;2;2;2;113014;0.15600717;
12;1;2;2;2;179801;0.15600717;
13;1;2;2;2;123424;0.15600717;
14;1;2;2;2;106702;0.15600717;
15;1;2;2;2;110620;0.15600717;
16;1;2;2;2;151417;0.15600717;
17;1;2;2;2;169351;0.15600717;
18;1;2;2;2;144814;0.15600717;
19;1;2;2;2;128634;0.15600717;
20;1;2;2;2;140776;0.15600717;
21;1;2;2;2;140997;0.15600717;
22;1;2;2;2;149303;0.15600717;
1;1;3;3;3;278327;0.16032289;
2;1;3;3;4;380892;0.16032289;
3;1;3;3;4;405348;0.16032289;
4;1;3;3;4;356345;0.16032289;
5;1;3;3;4;445454;0.16032289;
6;1;3;3;2;220668;0.16032289;
7;1;3;3;2;202123;0.16032289;
8;1;3;3;4;595328;0.16032289;
9;1;3;3;3;430305;0.16032289;
10;1;3;3;4;522941;0.16032289;
11;1;3;3;4;453188;0.16032289;
12;1;3;3;3;431487;0.16032289;
13;1;3;3;2;215869;0.16032289;
14;1;3;3;3;329124;0.16032289;
15;1;3;3;2;213715;0.16032289;
16;1;3;3;4;314246;0.16032289;
17;1;3;3;3;309206;0.16032289;
18;1;3;3;2;222462;0.16032289;
19;1;3;3;2;193246;0.16032289;
20;1;3;3;4;396151;0.16032289;
21;1;3;3;3;400358;0.16032289;
22;1;3;3;2;205059;0.16032289;
1;1;4;4;3;211802;1.3430799;
2;1;4;4;5;457567;1.3430799;
3;1;4;4;6;483236;1.3430799;
4;1;4;4;3;400599;1.3430799;
5;1;4;4;3;412151;1.3430799;
6;1;4;4;5;620355;1.3430799;
7;1;4;4;5;605448;1.3430799;
8;1;4;4;3;466083;1.3430799;
9;1;4;4;5;502723;1.3430799;
10;1;4;4;3;355303;1.3430799;
11;1;4;4;6;811217;1.3430799;
12;1;4;4;6;747777;1.3430799;
13;1;4;4;6;815605;1.3430799;
14;1;4;4;3;330536;1.3430799;
15;1;4;4;2;310358;1.3430799;
16;1;4;4;3;343350;1.3430799;
17;1;4;4;6;536376;1.3430799;
18;1;4;4;3;1452763;1.3430799;
19;1;4;4;3;375502;1.3430799;
20;1;4;4;3;328693;1.3430799;
21;1;4;4;6;564770;1.3430799;
22;1;4;4;3;301140;1.3430799;
1;1;5;5;3;158230;5.825925;
2;1;5;5;8;343651;5.653592;
3;1;5;5;6;391972;5.653592;
4;1;5;5;11;621568;5.653592;
5;1;5;5;9;695197;5.653592;
6;1;5;5;4;519484;5.653592;
7;1;5;5;6;601370;5.653592;
8;1;5;5;10;745012;5.653592;
9;1;5;5;5;699125;5.653592;
10;1;5;5;7;677564;5.653592;
11;1;5;5;3;491441;5.653592;
12;1;5;5;4;608092;5.653592;
13;1;5;5;4;390520;5.653592;
14;1;5;5;7;474509;5.653592;
15;1;5;5;5;523773;5.653592;
16;1;5;5;4;624122;5.653592;
17;1;5;5;10;992280;5.653592;
18;1;5;5;6;672174;5.653592;
19;1;5;5;6;961762;5.825925;
20;1;5;5;10;915795;5.653592;
21;1;5;5;7;613322;5.653592;
22;1;5;5;3;386683;5.825925;
1;1;6;6;9;273979;10.029881;
2;1;6;6;7;403484;10.029881;
3;1;6;6;2;204207;11.009167;
4;1;6;6;21;1044199;10.029881;
5;1;6;6;22;1193812;10.029881;
6;1;6;6;11;755071;10.029881;
7;1;6;6;7;653268;10.029881;
8;1;6;6;13;986138;10.029881;
9;1;6;6;12;908642;10.029881;
10;1;6;6;13;872172;10.692539;
11;1;6;6;17;1542262;10.029881;
12;1;6;6;11;919422;10.029881;
13;1;6;6;8;796629;11.009167;
14;1;6;6;15;1085086;10.424564;
15;1;6;6;11;689747;10.029881;
16;1;6;6;23;1442514;10.029881;
17;1;6;6;12;1055720;10.029881;
18;1;6;6;6;528251;10.692539;
19;1;6;6;19;876741;10.424564;
20;1;6;6;27;2226749;10.029881;
21;1;6;6;23;1551289;10.029881;
22;1;6;6;4;819282;10.029881;
1;1;7;7;23;550443;17.374367;
2;1;7;7;18;447207;17.8954;
3;1;7;7;24;997991;17.474855;
4;1;7;7;20;897962;17.8954;
5;1;7;7;19;895457;17.474855;
6;1;7;7;15;893984;17.374367;
7;1;7;7;21;970099;18.123528;
