Num threads;Num fila;Num columna;Num elementos;Num iteraciones;Tiempo(ns);Coste;
1;1;1;1;2;2471272;0.0;
2;1;1;1;2;221239;0.0;
3;1;1;1;2;160554;0.0;
4;1;1;1;2;146828;0.0;
5;1;1;1;2;124276;0.0;
6;1;1;1;2;114457;0.0;
7;1;1;1;2;154022;0.0;
8;1;1;1;2;128323;0.0;
9;1;1;1;2;125588;0.0;
10;1;1;1;2;1977366;0.0;
11;1;1;1;2;122822;0.0;
12;1;1;1;2;134385;0.0;
13;1;1;1;2;148501;0.0;
14;1;1;1;2;133533;0.0;
15;1;1;1;2;111482;0.0;
16;1;1;1;2;89309;0.0;
17;1;1;1;2;126260;0.0;
18;1;1;1;2;134636;0.0;
19;1;1;1;2;136799;0.0;
20;1;1;1;2;122392;0.0;
21;1;1;1;2;242910;0.0;
22;1;1;1;2;133142;0.0;
1;1;2;2;2;397313;0.44101703;
2;1;2;2;2;130658;0.44101703;
3;1;2;2;2;108125;0.44101703;
4;1;2;2;2;160574;0.44101703;
5;1;2;2;2;113956;0.44101703;
6;1;2;2;2;106271;0.44101703;
7;1;2;2;2;106462;0.44101703;
8;1;2;2;2;109187;0.44101703;
9;1;2;2;2;99758;0.44101703;
10;1;2;2;2;112783;0.44101703;
11;1;2;2;2;147940;0.44101703;
12;1;2;2;2;113485;0.44101703;
13;1;2;2;2;113334;0.44101703;
14;1;2;2;2;100491;0.44101703;
15;1;2;2;2;139033;0.44101703;
16;1;2;2;2;125457;0.44101703;
17;1;2;2;2;113866;0.44101703;
18;1;2;2;2;127401;0.44101703;
19;1;2;2;2;113676;0.44101703;
20;1;2;2;2;100681;0.44101703;
21;1;2;2;2;144905;0.44101703;
22;1;2;2;2;155154;0.44101703;
1;1;3;3;4;347198;0.6127348;
2;1;3;3;4;385871;0.6127348;
3;1;3;3;3;362547;0.6127348;
4;1;3;3;2;194057;0.6127348;
5;1;3;3;3;336508;0.6127348;
6;1;3;3;2;190240;0.6127348;
7;1;3;3;2;190320;0.6127348;
8;1;3;3;4;413644;0.6127348;
9;1;3;3;3;467195;0.6127348;
10;1;3;3;2;196252;0.6127348;
11;1;3;3;3;336628;0.6127348;
12;1;3;3;3;306040;0.6127348;
13;1;3;3;4;456524;0.6127348;
14;1;3;3;2;197985;0.6127348;
15;1;3;3;2;232099;0.6127348;
16;1;3;3;2;230967;0.6127348;
17;1;3;3;2;173339;0.6127348;
18;1;3;3;3;284579;0.6127348;
19;1;3;3;4;344572;0.6127348;
20;1;3;3;4;350124;0.6127348;
21;1;3;3;2;157889;0.6127348;
22;1;3;3;4;273458;0.6127348;
1;1;4;4;4;319545;2.4410927;
2;1;4;4;2;186724;2.4410927;
3;1;4;4;2;279108;2.4410927;
4;1;4;4;4;508834;2.4410927;
5;1;4;4;3;380591;2.4410927;
6;1;4;4;5;486882;2.4410927;
7;1;4;4;2;306240;2.4410927;
8;1;4;4;3;715325;2.4410927;
9;1;4;4;4;550242;2.4410927;
10;1;4;4;4;455052;2.4410927;
11;1;4;4;4;398035;2.4410927;
12;1;4;4;5;454531;2.4410927;
13;1;4;4;2;226259;2.4410927;
14;1;4;4;7;570251;2.4410927;
15;1;4;4;7;674057;2.4410927;
16;1;4;4;4;381754;2.4410927;
17;1;4;4;7;685008;2.4410927;
18;1;4;4;4;441627;2.4410927;
19;1;4;4;3;315277;2.4410927;
20;1;4;4;2;227260;2.4410927;
21;1;4;4;7;459721;2.4410927;
22;1;4;4;5;478536;2.4410927;
1;1;5;5;5;285851;4.9418073;
2;1;5;5;7;485309;4.9418073;
3;1;5;5;5;327721;5.3575644;
4;1;5;5;3;318423;5.3575644;
5;1;5;5;6;481793;4.9418073;
6;1;5;5;8;614334;4.9418073;
7;1;5;5;6;627579;4.9418073;
8;1;5;5;3;405217;5.3575644;
9;1;5;5;5;649861;5.3575644;
10;1;5;5;14;1201466;4.9418073;
11;1;5;5;7;870058;4.9418073;
12;1;5;5;6;670059;5.354921;
13;1;5;5;10;918881;4.9418073;
14;1;5;5;8;814482;4.9418073;
15;1;5;5;6;753177;4.9418073;
16;1;5;5;4;537338;4.9418073;
17;1;5;5;6;681010;4.9418073;
18;1;5;5;7;592222;4.9418073;
19;1;5;5;6;556815;4.9418073;
20;1;5;5;6;507952;4.9418073;
21;1;5;5;6;459731;4.9418073;
22;1;5;5;4;372476;4.9418073;
1;1;6;6;7;221400;8.34057;
2;1;6;6;8;312071;8.270429;
3;1;6;6;10;473407;8.34057;
4;1;6;6;6;428352;8.34057;
5;1;6;6;3;303455;8.270429;
