Num threads;Num fila;Num columna;Num elementos;Num iteraciones;Tiempo(ns);Coste;
1;1;1;1;2;437930;0.0;
2;1;1;1;2;147780;0.0;
3;1;1;1;2;136749;0.0;
4;1;1;1;2;86615;0.0;
5;1;1;1;2;168369;0.0;
6;1;1;1;2;134966;0.0;
7;1;1;1;2;106362;0.0;
8;1;1;1;2;101312;0.0;
9;1;1;1;2;125447;0.0;
10;1;1;1;2;153100;0.0;
11;1;1;1;2;157678;0.0;
12;1;1;1;2;128654;0.0;
13;1;1;1;2;2038433;0.0;
14;1;1;1;2;157849;0.0;
15;1;1;1;2;130508;0.0;
16;1;1;1;2;118966;0.0;
17;1;1;1;2;139685;0.0;
18;1;1;1;2;148883;0.0;
19;1;1;1;2;121801;0.0;
20;1;1;1;2;100872;0.0;
21;1;1;1;2;95321;0.0;
22;1;1;1;2;103386;0.0;
1;1;2;2;3;156697;0.054303028;
2;1;2;2;3;188347;0.054303028;
3;1;2;2;3;154173;0.054303028;
4;1;2;2;3;146127;0.054303028;
5;1;2;2;3;129034;0.054303028;
6;1;2;2;3;139204;0.054303028;
7;1;2;2;3;156496;0.054303028;
8;1;2;2;3;136899;0.054303028;
9;1;2;2;3;137069;0.054303028;
10;1;2;2;3;137721;0.054303028;
11;1;2;2;3;151938;0.054303028;
12;1;2;2;3;144785;0.054303028;
13;1;2;2;3;145706;0.054303028;
14;1;2;2;3;130417;0.054303028;
15;1;2;2;3;166576;0.054303028;
16;1;2;2;3;142500;0.054303028;
17;1;2;2;3;180252;0.054303028;
18;1;2;2;3;162959;0.054303028;
19;1;2;2;3;162307;0.054303028;
20;1;2;2;3;163550;0.054303028;
21;1;2;2;3;192454;0.054303028;
22;1;2;2;3;138603;0.054303028;
1;1;3;3;7;167828;1.0696745;
2;1;3;3;7;258109;1.0696745;
3;1;3;3;7;316489;1.0696745;
4;1;3;3;7;223824;1.0696745;
5;1;3;3;7;192184;1.0696745;
6;1;3;3;7;173088;1.0696745;
7;1;3;3;7;377946;1.0696745;
8;1;3;3;7;391792;1.0696745;
9;1;3;3;7;262297;1.0696745;
10;1;3;3;7;209918;1.0696745;
11;1;3;3;7;227631;1.0696745;
12;1;3;3;7;209006;1.0696745;
13;1;3;3;7;197835;1.0696745;
14;1;3;3;7;211761;1.0696745;
15;1;3;3;7;179490;1.0696745;
16;1;3;3;7;222301;1.0696745;
17;1;3;3;7;211220;1.0696745;
18;1;3;3;7;217161;1.0696745;
19;1;3;3;7;218895;1.0696745;
20;1;3;3;7;260063;1.0696745;
21;1;3;3;7;227861;1.0696745;
22;1;3;3;7;319436;1.0696745;
1;2;1;2;3;110360;0.61417395;
2;2;1;2;3;160925;0.61417395;
3;2;1;2;3;143342;0.61417395;
4;2;1;2;3;180823;0.61417395;
5;2;1;2;3;144343;0.61417395;
6;2;1;2;3;171675;0.61417395;
7;2;1;2;3;167868;0.61417395;
8;2;1;2;3;162749;0.61417395;
9;2;1;2;3;150164;0.61417395;
10;2;1;2;3;148772;0.61417395;
11;2;1;2;3;140156;0.61417395;
12;2;1;2;3;141037;0.61417395;
13;2;1;2;3;152179;0.61417395;
14;2;1;2;3;149343;0.61417395;
15;2;1;2;3;152439;0.61417395;
16;2;1;2;3;146708;0.61417395;
17;2;1;2;3;151096;0.61417395;
18;2;1;2;3;150385;0.61417395;
19;2;1;2;3;164832;0.61417395;
20;2;1;2;3;1239860;0.61417395;
