Num fila;Num columna;Num elementos;Num iteraciones;Tiempo(ns);Coste;
1;1;1;2;2180191;0.0;
1;2;2;2;583376;0.053206205;
1;3;3;4;644201;0.18037647;
1;4;4;2;329414;2.2342331;
1;5;5;8;1318458;3.9478748;
1;6;6;6;1642973;8.408791;
1;7;7;8;2185090;14.618734;
1;8;8;12;3332585;17.838009;
2;1;2;2;172357;0.87888056;
2;2;4;2;267537;1.5809782;
2;3;6;9;1253335;4.937452;
2;4;8;11;2338992;15.0027275;
2;5;10;28;6810514;31.62052;
2;6;12;36;11178170;52.912956;
2;7;14;55;6696398;87.35932;
2;8;16;46;6567955;104.123245;
3;1;3;2;207083;2.1498396;
3;2;6;4;508714;5.4152985;
3;3;9;34;3394481;18.848259;
3;4;12;35;3816262;48.755;
3;5;15;86;5892035;88.6396;
3;6;18;163;12181392;138.17566;
3;7;21;160;9763038;213.5654;
3;8;24;315;18564626;323.88663;
4;1;4;2;250274;5.4401093;
4;2;8;14;908982;13.903352;
4;3;12;23;1810140;48.357613;
4;4;16;89;4401139;102.01365;
4;5;20;199;10471872;190.68741;
4;6;24;184;9304360;280.62192;
4;7;28;347;20872789;483.4264;
4;8;32;498;28350308;653.856;
5;1;5;11;467906;6.409492;
5;2;10;15;1072442;32.12656;
5;3;15;44;2631947;76.468;
5;4;20;113;5613908;183.97939;
5;5;25;309;15456126;337.29776;
5;6;30;556;30415201;506.71115;
5;7;35;726;45446111;808.1001;
5;8;40;1161;84423345;1157.4199;
6;1;6;10;608312;12.296503;
6;2;12;38;1980332;42.961025;
6;3;18;93;4869036;146.94186;
6;4;24;163;8026248;280.5605;
6;5;30;430;21566745;480.94156;
6;6;36;703;46576091;870.98047;
6;7;42;917;69661915;1293.2069;
6;8;48;1667;154639529;1767.4211;
7;1;7;6;654881;18.490541;
7;2;14;51;2485690;66.05705;
7;3;21;175;7265447;206.88538;
7;4;28;531;24690583;400.9026;
7;5;35;690;37299444;771.6234;
7;6;42;1503;107362870;1210.6465;
7;7;49;1983;192947835;1804.106;
7;8;56;3133;396194916;2656.82;
8;1;8;8;706539;26.736744;
8;2;16;64;2915915;106.97495;
8;3;24;271;11237162;305.33713;
8;4;32;499;24916001;620.3774;
8;5;40;1069;70950166;1138.0901;
8;6;48;1899;176230570;1701.155;
8;7;56;2389;307186364;2588.9526;
8;8;64;5188;893126979;3629.517;
