Num fila;Num columna;Num elementos;Num iteraciones Rapido;Num iteraciones Lento;Tiempo(ns) Rapido;Tiempo(ns) Lento;Coste; RapidoCoste; Lento
1;1;1;2;2;2874656;509535;0.0;0.0;
1;2;2;2;3;449301;301000;0.40052456;0.40052456;
1;3;3;3;6;447338;461104;0.7496713;0.7496713;
2;1;2;2;3;164542;199829;0.9903583;0.9903583;
2;2;4;2;19;372937;882131;1.0287359;1.0287359;
2;3;6;12;675;2034695;5366258;6.569282;6.569282;
3;1;3;2;7;237299;241057;1.448349;1.448349;
3;2;6;4;705;2032551;2945310;4.5976872;4.5976872;
3;3;9;28;286826;8132268;282094193;18.962875;18.962875;
4;1;4;4;25;282285;293967;3.5259712;3.5259712;
4;2;8;15;38252;2508983;6866590;13.626713;13.626713;
4;3;12;70;157672803;21000639;47672773513;45.41867;44.69299;
