Num fila;Num columna;Num elementos;Num iteraciones Random;Num iteraciones Fast;Tiempo(ns) Random;Tiempo(ns) Fast;Coste Random;Coste Fast;
1;1;1;2;2;782082;2447118;0.0;0.0;
1;2;2;2;2;278067;481903;0.9752756;0.9752756;
1;3;3;2;3;277055;539743;0.79487705;0.79487705;
1;4;4;3;4;504917;610227;1.0688728;1.0688728;
1;5;5;5;12;887342;1961777;5.392913;5.392913;
1;6;6;16;8;2243371;1505212;10.061003;10.061003;
1;7;7;10;20;1533857;3888179;13.23472;13.387921;
1;8;8;22;35;3246342;5955095;24.023386;24.114721;
1;9;9;11;41;2197935;5219892;40.138775;39.23577;
1;10;10;18;17;3300995;2650483;44.11462;44.261528;
2;1;2;2;2;163620;184500;0.46213782;0.46213782;
2;2;4;2;4;172236;295360;2.7861457;2.7861457;
2;3;6;10;20;1044199;1296506;4.6971107;4.6971107;
2;4;8;30;35;1910320;2619975;19.044102;19.044102;
2;5;10;19;27;2567255;2983675;29.284622;28.524435;
2;6;12;41;16;5089004;2488987;58.943855;59.11065;
2;7;14;67;68;4705618;3989060;82.696236;83.57687;
2;8;16;104;220;6223123;10155736;114.6366;113.41491;
2;9;18;126;166;7282400;7874603;178.77856;178.13214;
2;10;20;147;201;8127382;9375216;259.67923;260.78052;
3;1;3;2;2;123154;155845;1.6062758;1.6062758;
3;2;6;6;10;410438;613082;6.6278176;6.6278176;
3;3;9;16;38;1233277;1655898;24.450176;24.450176;
3;4;12;57;104;2954189;3935729;31.782167;33.10151;
3;5;15;83;177;4498896;7601856;82.60691;82.328125;
3;6;18;120;192;6390190;8032913;126.47513;124.954704;
3;7;21;169;357;9027407;15115515;215.2476;217.01338;
3;8;24;329;283;16680951;13129370;334.12592;334.8482;
3;9;27;357;434;18777494;22420388;453.36215;449.31894;
3;10;30;456;803;25607678;41525393;618.6927;616.6244;
4;1;4;4;6;234875;245846;1.7882787;1.7882787;
4;2;8;10;32;885959;2493716;14.243083;14.243083;
4;3;12;38;77;2048061;3247254;47.74496;48.213066;
4;4;16;60;118;3491937;4955060;99.548836;100.264206;
4;5;20;138;233;5952490;9638336;171.13972;169.86903;
4;6;24;241;366;10701260;15958873;281.22784;279.3847;
4;7;28;362;718;17830860;32859430;438.93155;440.1436;
4;8;32;599;1067;31437095;53900844;652.57806;655.2403;
4;9;36;682;781;41285368;46775071;847.7526;838.2566;
4;10;40;1244;2239;89713181;155068311;1162.7782;1147.7347;
5;1;5;5;18;305279;583987;4.771077;4.771077;
5;2;10;23;24;1434168;1371719;22.467669;22.569925;
5;3;15;41;137;2255073;4824252;73.32025;73.503685;
5;4;20;149;220;6163079;9337666;163.24657;162.03036;
5;5;25;215;460;9611223;18632490;327.63022;326.60428;
5;6;30;617;916;29493882;41000518;526.5079;526.43115;
5;7;35;844;726;49111428;39932644;784.7967;786.09235;
5;8;40;871;1954;62079563;133453620;1075.9941;1081.0111;
5;9;45;1313;1629;113111772;132989461;1548.0636;1546.8158;
5;10;50;2244;3711;242510839;377227072;2029.428;2025.5526;
6;1;6;4;21;346567;877493;17.353214;17.353214;
6;2;12;13;62;1247665;2286173;51.902195;51.902195;
6;3;18;102;243;4153642;8474680;137.93085;139.52269;
6;4;24;203;462;8743840;18276284;274.74042;271.18085;
6;5;30;406;778;20050066;35448025;488.9586;488.46695;
6;6;36;782;1191;47367203;67577753;814.9802;813.9098;
6;7;42;1113;2659;85223974;192433079;1240.8599;1240.2188;
6;8;48;2226;2945;220348530;279452254;1743.3511;1743.9623;
6;9;54;2591;3612;327038923;434814092;2463.6914;2450.5125;
6;10;60;3652;5619;586088343;871836028;3286.447;3267.1824;
7;1;7;16;9;711158;554892;20.246843;20.246843;
7;2;14;31;74;1735017;2761794;76.9096;77.16941;
7;3;21;141;251;5754505;9395334;228.38684;228.00262;
7;4;28;382;645;18391553;27667481;434.1655;442.4332;
7;5;35;725;1061;41205767;57966248;746.2143;744.3617;
7;6;42;1441;1928;109025378;142178084;1236.6354;1245.0236;
7;7;49;2100;3126;216901959;307479337;1850.9825;1842.8221;
7;8;56;2797;3806;385993304;504401282;2620.7205;2623.4636;
7;9;63;4194;5741;761054853;1001546836;3485.8523;3486.4119;
7;10;70;5811;8610;1356578527;1950159688;4745.3247;4740.0776;
8;1;8;21;28;742357;1047986;31.592882;31.592882;
8;2;16;75;121;3084135;4250155;111.052666;111.63681;
8;3;24;353;476;14527219;18414417;286.32928;286.90848;
